#,Company,Symbol,Weight,Price,Change
225,Parker-Hannifin Corporation,PH,0.098555,   177.34,1.57 (0.89%)
226,AutoZone Inc.,AZO,0.098246,   893.41,-18.25 (-2.00%)
227,Motorola Solutions Inc.,MSI,0.097601,   140.76,0.78 (0.56%)
228,Dollar Tree Inc.,DLTR,0.097396,   98.16,1.05 (1.08%)
229,IQVIA Holdings Inc,IQV,0.097361,   141.92,-0.54 (-0.38%)
230,PPL Corporation,PPL,0.097079,   31.60,-0.04 (-0.13%)
231,Twitter Inc.,TWTR,0.096898,   32.08,0.37 (1.17%)
232,Ventas Inc.,VTR,0.096557,   63.59,-0.66 (-1.03%)
233,Kroger Co.,KR,0.096141,   28.99,0.47 (1.65%)
234,DTE Energy Company,DTE,0.095347,   122.89,-0.83 (-0.67%)
235,Anadarko Petroleum Corporation,APC,0.095023,   44.16,0.47 (1.08%)
236,Willis Towers Watson Public Limited Company,WLTW,0.094710,   171.87,0.78 (0.46%)
237,Eversource Energy,ES,0.093963,   69.37,-0.93 (-1.32%)
238,Rockwell Automation Inc.,ROK,0.093512,   180.12,0.89 (0.50%)
239,Aptiv PLC,APTV,0.092597,   83.41,1.05 (1.27%)
240,Synchrony Financial,SYF,0.092255,   32.25,0.37 (1.14%)
241,Kraft Heinz Company,KHC,0.092214,   34.21,-0.74 (-2.13%)
242,Advanced Micro Devices Inc.,AMD,0.091290,   24.88,0.52 (2.13%)
243,Stanley Black & Decker Inc.,SWK,0.090480,   138.64,-0.28 (-0.20%)
244,Concho Resources Inc.,CXO,0.090112,   107.56,1.52 (1.43%)
245,TransDigm Group Incorporated,TDG,0.089616,   435.56,-1.34 (-0.31%)
246,SBA Communications Corp. Class A,SBAC,0.088794,   180.57,-1.98 (-1.08%)
247,Boston Properties Inc.,BXP,0.088302,   135.00,-0.67 (-0.49%)
248,Microchip Technology Incorporated,MCHP,0.088235,   90.23,1.19 (1.34%)
249,Royal Caribbean Cruises Ltd.,RCL,0.087847,   121.12,0.19 (0.16%)
250,Northern Trust Corporation,NTRS,0.087830,   93.53,0.89 (0.96%)
251,Realty Income Corporation,O,0.087721,   69.37,-0.37 (-0.53%)
252,Verisk Analytics Inc,VRSK,0.087385,   125.70,0.67 (0.54%)
253,United Continental Holdings Inc.,UAL,0.086834,   89.68,0.25 (0.28%)
254,Clorox Company,CLX,0.086816,   158.40,-1.18 (-0.74%)
255,Global Payments Inc.,GPN,0.085966,   128.57,0.84 (0.65%)
256,FleetCor Technologies Inc.,FLT,0.085455,   229.92,1.49 (0.65%)
257,Edison International,EIX,0.084397,   61.13,-0.28 (-0.46%)
258,FirstEnergy Corp.,FE,0.083998,   40.60,-0.12 (-0.28%)
259,Weyerhaeuser Company,WY,0.083347,   25.92,-0.17 (-0.65%)
260,Harris Corporation,HRS,0.082947,   165.25,-0.63 (-0.38%)
